               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  95,            0.018036,           0.0039409,                   0,             0.99554,                   1,             0.99489,             0.86265,            0.012993,           0.0019962,                   0,            0.005347,            0.005347,            0.005347
                  96,            0.019163,           0.0044092,                   0,             0.99598,                   1,               0.995,             0.87285,            0.012845,           0.0019486,                   0,           0.0052975,           0.0052975,           0.0052975
                  97,            0.018496,           0.0038387,                   0,             0.99893,                   1,               0.995,             0.87703,            0.011874,           0.0019227,                   0,            0.005248,            0.005248,            0.005248
                  98,            0.017575,           0.0041569,                   0,             0.99919,                   1,               0.995,             0.86741,             0.01197,            0.001989,                   0,           0.0051985,           0.0051985,           0.0051985
                  99,            0.017486,           0.0036737,                   0,                   1,             0.99978,               0.995,             0.86288,            0.012024,           0.0019293,                   0,            0.005149,            0.005149,            0.005149
                 100,            0.017808,           0.0041383,                   0,              0.9987,                   1,               0.995,             0.83983,            0.013324,           0.0019685,                   0,           0.0050995,           0.0050995,           0.0050995
                 101,            0.019348,           0.0039019,                   0,             0.99847,                   1,               0.995,              0.8705,            0.011657,           0.0019412,                   0,             0.00505,             0.00505,             0.00505
                 102,            0.018221,           0.0041889,                   0,                   1,              0.9998,               0.995,             0.86361,            0.012721,           0.0019975,                   0,           0.0050005,           0.0050005,           0.0050005
                 103,            0.017798,           0.0039282,                   0,             0.99944,                   1,               0.995,             0.85843,            0.012714,           0.0019489,                   0,            0.004951,            0.004951,            0.004951
                 104,            0.018599,           0.0042626,                   0,             0.99962,                   1,               0.995,             0.86458,            0.012697,           0.0020352,                   0,           0.0049015,           0.0049015,           0.0049015
                 105,             0.01881,           0.0043335,                   0,                   1,             0.99956,               0.995,             0.86753,            0.012245,           0.0019498,                   0,            0.004852,            0.004852,            0.004852
                 106,            0.016873,           0.0043285,                   0,             0.99944,             0.99623,               0.995,             0.86742,            0.012772,            0.001997,                   0,           0.0048025,           0.0048025,           0.0048025
                 107,            0.018102,           0.0042067,                   0,             0.99964,                   1,               0.995,             0.88886,            0.011609,           0.0018647,                   0,            0.004753,            0.004753,            0.004753
                 108,            0.017945,           0.0042562,                   0,             0.99957,                   1,               0.995,             0.86975,            0.012977,           0.0019913,                   0,           0.0047035,           0.0047035,           0.0047035
                 109,            0.016472,           0.0040458,                   0,             0.99965,                   1,               0.995,             0.88338,            0.011061,           0.0018187,                   0,            0.004654,            0.004654,            0.004654
                 110,            0.016649,            0.003772,                   0,             0.99967,                   1,               0.995,             0.87702,            0.011798,           0.0018617,                   0,           0.0046045,           0.0046045,           0.0046045
                 111,            0.016365,           0.0042635,                   0,             0.99955,                   1,               0.995,             0.88343,            0.010923,           0.0018026,                   0,            0.004555,            0.004555,            0.004555
                 112,            0.017486,           0.0040192,                   0,             0.99968,                   1,               0.995,             0.88319,             0.01114,           0.0017784,                   0,           0.0045055,           0.0045055,           0.0045055
                 113,            0.016586,           0.0041958,                   0,             0.99971,                   1,               0.995,             0.87537,            0.011819,           0.0018268,                   0,            0.004456,            0.004456,            0.004456
                 114,            0.017701,           0.0037251,                   0,             0.99971,                   1,               0.995,             0.87396,            0.011623,             0.00187,                   0,           0.0044065,           0.0044065,           0.0044065
                 115,            0.016224,           0.0038896,                   0,             0.99959,                   1,               0.995,              0.8686,            0.011901,           0.0018449,                   0,            0.004357,            0.004357,            0.004357
                 116,            0.016241,           0.0037954,                   0,             0.99964,                   1,               0.995,             0.88401,            0.011312,           0.0018382,                   0,           0.0043075,           0.0043075,           0.0043075
                 117,            0.016732,           0.0045567,                   0,             0.99966,                   1,               0.995,             0.88474,             0.01078,           0.0017869,                   0,            0.004258,            0.004258,            0.004258
                 118,            0.016344,            0.003847,                   0,             0.99955,                   1,               0.995,             0.86645,            0.012121,           0.0018108,                   0,           0.0042085,           0.0042085,           0.0042085
                 119,            0.016794,           0.0039695,                   0,             0.99963,                   1,               0.995,             0.88499,             0.01075,           0.0017799,                   0,            0.004159,            0.004159,            0.004159
                 120,            0.015998,            0.003718,                   0,             0.99959,                   1,               0.995,             0.88428,            0.011111,           0.0018425,                   0,           0.0041095,           0.0041095,           0.0041095
